Entry ID,Level,Topic,Learning Outcome,Instructional Step,Narration Script,Visual Prompt,Keywords,Pedagogical_Notes,Technical_Prompt_Enhancement,AI_Model_Config,Style_Reference,Validation_Criteria,Luganda_Narration,Swahili_Narration,Audio_Emotion_Cue,Quiz_Question,Quiz_Options,Correct_Answer,Interactive_Element,Bloom_Taxonomy_Level,File_Naming_Convention,Asset_Size_Limit,Compression_Setting,Offline_Compatibility,QA_Checkpoint,Cultural_Review_Status
BIO-S1-T1.2-002,Senior 1,Cells,"b) know and understand the structure and functions of a typical animal cell",2. The Animal Cell,"This is a typical animal cell. Let's look at the important parts inside it.","A clear, simple, and labeled scientific diagram of an animal cell, showing the Cell Membrane, Cytoplasm, and Nucleus.",animal cell;diagram;cell membrane;cytoplasm;nucleus,"Introduces the basic structure of an animal cell using a simplified diagram, focusing only on the core components required at this level.","Add: labels in English/Luganda, color-coded parts","Stable Diffusion, guidance=7.5, steps=40","scientific diagram, labeled clearly","CLIP label accuracy >0.9","Kino ni typical animal cell. Nkwagala okukola ku by'okuzingira mu kigulo.","Hii ni seli ya kawaida ya mnyama. Hebu tuangalie sehemu muhimu ndani yake.","exploratory","What is in an animal cell?","A) Membrane B) Rocks C) Sand D) Metal","A","label tap for info","Understanding","BIO-S1-T1.2-002_img.png","512x512","JPEG 80% quality","Yes","Diagram simplicity check","Approved"
BIO-S1-T1.2-003,Senior 1,Cells,"b) know and understand the structure and functions of a typical animal cell",3. Animal Cell: Cell Membrane,"The cell membrane is the outer layer. Its job is to control what goes in and out of the cell.","The animal cell diagram, with the cell membrane highlighted and arrows pointing in and out to represent transport of substances.",cell membrane;function;transport;animal cell,"Focuses on a single organelle's function, using visual cues (arrows) to explain the concept of semi-permeability and transport.","Add: animated arrows, highlight glow","ControlNet, guidance=8.0, steps=45","highlighted diagram, arrow animation","SAM arrow path validation","Cell membrane ni layer ey'okuzingira. Emikolo gyayo ni okukola okuva mu nteesa okukola.","Membrane ya seli ni tabaka la nje. Kazi yake ni kudhibiti kinachoingia na kutoka katika seli.","functional","What does cell membrane control?","A) Color B) Entry/exit C) Size D) Shape","B","arrow simulation, quiz","Applying","BIO-S1-T1.2-003_img.png","512x512","JPEG 80% quality","Yes","Function visualization review","Approved"
BIO-S1-T1.2-004,Senior 1,Cells,"b) know and understand the structure and functions of a typical animal cell",4. Animal Cell: Cytoplasm,"The cytoplasm is the jelly-like substance that fills the cell. All chemical reactions happen here.","The animal cell diagram, with the cytoplasm highlighted in a different color to show it filling the entire cell.",cytoplasm;function;chemical reactions;animal cell,"Visually emphasizes that the cytoplasm is the medium in which all other organelles are suspended and where metabolic processes occur.","Add: jelly texture simulation, full-fill effect","Diffusion, guidance=7.0, steps=35","color-highlighted diagram","CLIP fill coverage >95%","Cytoplasm ni jelly-like substance eyogera cell. Buli chemical reaction ekolagana hano.","Cytoplasm ni dutu kama jeli inayojaza seli. Athari zote za kemikali hutokea hapa.","descriptive","Where do reactions happen?","A) Nucleus B) Cytoplasm C) Membrane D) Outside","B","fill animation, quiz","Understanding","BIO-S1-T1.2-004_img.png","512x512","JPEG 80% quality","Yes","Metabolism link check","Approved"
BIO-S1-T1.2-005,Senior 1,Cells,"b) know and understand the structure and functions of a typical animal cell",5. Animal Cell: Nucleus,"The nucleus is the control center of the cell. It contains the genetic information.","The animal cell diagram, with the nucleus highlighted. A simple, iconic strand of DNA is shown inside the nucleus to represent genetic information.",nucleus;function;control center;DNA;genetic information,"Uses the 'control center' analogy and visually links the nucleus to the concept of genetic material (DNA), laying a foundation for future genetics topics.","Add: DNA helix icon, central glow","Stable Diffusion, guidance=7.5, steps=40","highlighted with icon, genetic style","SAM DNA placement accurate","Nucleus ni control center y'ekigulo. Gino gogera genetic information.","Kiini cha seli ni kituo cha udhibiti cha seli. Kina taarifa za maumbile.","authoritative","What is in the nucleus?","A) Food B) Genetic info C) Water D) Air","B","zoom to DNA, quiz","Remembering","BIO-S1-T1.2-005_img.png","512x512","JPEG 80% quality","Yes","Genetics foundation review","Approved"
BIO-S1-T1.2-006,Senior 1,Cells,"b) know and understand the structure and functions of a typical plant cell",6. The Plant Cell,"This is a plant cell. It has some special parts that animal cells do not have.","A clear, simple, and labeled scientific diagram of a plant cell, showing the Cell Wall, Cell Membrane, Cytoplasm, Nucleus, Chloroplasts, and a large central Vacuole.",plant cell;diagram;cell wall;chloroplast;vacuole,"Introduces the plant cell by immediately setting up a comparison with the previously learned animal cell, encouraging active recall and differentiation.","Add: comparison overlay with animal cell, green tones","LLaVA + Diffusion, guidance=7.0, steps=45","scientific labeled diagram","CLIP comparison elements >0.85","Kino ni plant cell. Gino gona by'okuzingira ebitagendera mu animal cells.","Hii ni seli ya mmea. Ina sehemu maalum ambazo seli za wanyama hazina.","comparative","What extra does plant cell have?","A) Wings B) Cell wall C) Fins D) Teeth","B","overlay toggle, quiz","Analyzing","BIO-S1-T1.2-006_img.png","512x512","JPEG 80% quality","Yes","Recall integration check","Approved"
BIO-S1-T1.2-007,Senior 1,Cells,"b) know and understand the structure and functions of a typical plant cell",7. Plant Cell: Cell Wall,"The plant cell has a strong outer cell wall made of cellulose. Its job is to give the cell a fixed shape and support.","The plant cell diagram, with the thick outer cell wall highlighted to emphasize its supportive role.",cell wall;function;support;shape;plant cell,"Highlights the key structural difference that gives plants their rigidity, explaining the functional importance of the cell wall.","Add: thickness emphasis, support arrows","ControlNet, guidance=8.0, steps=40","thick highlight diagram","SAM thickness validation","Plant cell gona strong outer cell wall eyogera cellulose. Emikolo gyayo ni okugaba cell fixed shape okusobola.","Seli ya mmea ina ukuta wa seli nje wenye nguvu uliotengenezwa na selulosi. Kazi yake ni kutoa umbo maalum na msaada.","structural","What is cell wall made of?","A) Sugar B) Cellulose C) Metal D) Plastic","B","support animation, quiz","Understanding","BIO-S1-T1.2-007_img.png","512x512","JPEG 80% quality","Yes","Rigidity explanation review","Approved"
BIO-S1-T1.2-008,Senior 1,Cells,"b) know and understand the structure and functions of a typical plant cell",8. Plant Cell: Chloroplasts,"Plant cells have chloroplasts. Their job is to trap sunlight to make food for the plant.","The plant cell diagram, with the small green chloroplasts highlighted. Simple sun rays are shown pointing towards the chloroplasts.",chloroplasts;function;photosynthesis;food;sunlight,"Visually and narratively connects the organelle (chloroplast) to its critical function (photosynthesis) and the required input (sunlight).","Add: sun ray effects, green highlight","Diffusion, guidance=7.5, steps=50","sunlit diagram, green accents","CLIP light interaction >0.8","Plant cells gona chloroplasts. Emikolo gyabwe ni okutwala sunlight okusobola okuva emmere okuganda.","Seli za mimea zina chloroplasts. Kazi yao ni kunasa jua ili kutengeneza chakula kwa mmea.","energetic","What do chloroplasts trap?","A) Water B) Sunlight C) Wind D) Soil","B","ray simulation, quiz","Applying","BIO-S1-T1.2-008_img.png","512x512","JPEG 80% quality","Yes","Photosynthesis link check","Approved"
BIO-S1-T1.2-009,Senior 1,Cells,"b) know and understand the structure and functions of a typical plant cell",9. Plant Cell: Large Vacuole,"A plant cell has a large central vacuole. Its job is to store water and sap, keeping the cell firm.","The plant cell diagram, with the large central vacuole highlighted, appearing full and pushing against the cell wall to show firmness.",vacuole;function;storage;water;sap;plant cell,"Explains the concept of turgor pressure in a simple way, showing how the vacuole contributes to the structural integrity of the plant cell.","Add: pressure push effect, water icons","Stable Diffusion, guidance=7.0, steps=35","pressure-highlighted diagram","SAM pressure visualization","Plant cell gona large central vacuole. Emikolo gyayo ni okugaba water okusobola okugaba cell firmness.","Seli ya mmea ina vacuole kubwa katikati. Kazi yake ni kuhifadhi maji na sap, kuweka seli imara.","stable","What does vacuole store?","A) Food B) Water C) Air D) Light","B","fill effect, quiz","Understanding","BIO-S1-T1.2-009_img.png","512x512","JPEG 80% quality","Yes","Turgor concept review","Approved"
BIO-S1-T1.2-010,Senior 1,Cells,"b) know and understand the structure and functions of a typical animal and plant cell",10. Comparing Cells,"A plant cell has a cell wall, chloroplasts, and a large vacuole, but an animal cell does not.","A split-screen image. On the left, the labeled plant cell. On the right, the labeled animal cell. The three unique plant parts are highlighted on the left.",comparison;plant cell;animal cell;cell wall;chloroplast;vacuole,"Provides a direct visual summary of the key differences between plant and animal cells, reinforcing the learning from the previous steps.","Add: side-by-side alignment, highlight diffs","ControlNet alignment, guidance=8.0, steps=45","split-screen labeled diagram","CLIP diff highlights >0.9","Plant cell gona cell wall, chloroplasts, large vacuole, naye animal cell tegakola.","Seli ya mmea ina ukuta wa seli, chloroplasts, na vacuole kubwa, lakini seli ya mnyama haija.","comparative","What does plant have that animal doesn't?","A) Nucleus B) Cell wall C) Cytoplasm D) Membrane","B","toggle highlights, quiz","Analyzing","BIO-S1-T1.2-010_img.png","512x512","JPEG 80% quality","Yes","Summary reinforcement check","Approved"
BIO-S1-T1.2-011,Senior 1,Cells,"c) understand the structure of specialized cells",11. Specialized Cells,"In an organism, different cells do different jobs. They have special shapes and features to help them. These are called specialized cells.","A collage of different cell types: a nerve cell, a muscle cell, a red blood cell, and a root hair cell, showing their varied shapes.",specialized cells;function;structure;adaptation,"Introduces the 'structure relates to function' principle by showing the diversity of cell shapes and linking it to the idea of different jobs.","Add: shape icons, job labels","Diffusion collage, guidance=7.5, steps=50","diverse collage illustration","SAM shape variety validation","Mu organism, cells ebikolagana emikolo egy'okuzingira. Gano gona shapes okusobola. Gano giri specialized cells.","Katika kiumbe, seli tofauti hufanya kazi tofauti. Zina umbo maalum na vipengele ili kuzisaidia. Hizi huitwa seli maalum.","diverse","What are specialized cells?","A) Same shape B) Different jobs C) No function D) Tiny only","B","cell select for detail, quiz","Understanding","BIO-S1-T1.2-011_img.png","512x512","JPEG 80% quality","Yes","Diversity review","Approved"
BIO-S1-T1.2-012,Senior 1,Cells,"c) understand the structure of specialized cells",12. Specialized Cell: Root Hair Cell,"A root hair cell in a plant has a long shape to absorb more water and minerals from the soil.","A clear diagram of a root hair cell, showing the long extension. The cell is shown in a cross-section of soil with water particles around it.",root hair cell;plant;water absorption;minerals;soil,"Provides a clear plant-based example of specialization, visually demonstrating how the elongated shape increases surface area for absorption.","Add: water particle animation, soil texture","Stable Diffusion, guidance=7.0, steps=40","cross-section diagram","CLIP absorption arrows >0.8","Root hair cell mu plant gona long shape okutwala water n'emineral okuva mu ttaka.","Seli ya nywele ya mzizi katika mmea ina umbo refu ili kunyonya maji na madini zaidi kutoka udongo.","absorptive","Why long shape in root hair?","A) Beauty B) Absorb water C) Store food D) Protect","B","absorption flow, quiz","Applying","BIO-S1-T1.2-012_img.png","512x512","JPEG 80% quality","Yes","Surface area check","Approved"
BIO-S1-T1.2-013,Senior 1,Cells,"c) understand the structure of specialized cells",13. Specialized Cell: Red Blood Cell,"A red blood cell is shaped like a flattened disc to carry more oxygen around the body.","An illustration showing several biconcave-shaped red blood cells flowing through a blood vessel.",red blood cell;animal;oxygen transport;blood vessel,"Provides a clear animal-based example of specialization, linking the biconcave shape to the function of maximizing oxygen-carrying capacity.","Add: flow lines, oxygen icons","ControlNet flow, guidance=7.5, steps=45","flow illustration, biconcave focus","SAM shape accuracy >95%","Red blood cell eyogera flattened disc okutwala oxygen mu mubiri.","Seli nyekundu ya damu imetengenezwa kama diski tambarare ili kubeba oksijeni zaidi karibu na mwili.","transportive","Shape of red blood cell?","A) Round B) Flattened disc C) Square D) Triangle","B","flow animation, quiz","Understanding","BIO-S1-T1.2-013_img.png","512x512","JPEG 80% quality","Yes","Oxygen capacity review","Approved"
BIO-S1-T1.2-014,Senior 1,Cells,"d) understand levels of organization",14. Levels of Organization: Tissues,"Cells that do the same job group together to form a tissue. This is muscle tissue.","A microscopic view showing many muscle cells grouped together to form muscle tissue. An arrow points from a single muscle cell to the larger group.",organization;tissue;muscle cell;human body,"Builds on the previous concept of cells, showing the first step in hierarchical organization. Using muscle tissue is a visually intuitive example.","Add: grouping arrow, zoom from cell to tissue","Diffusion hierarchy, guidance=7.0, steps=35","micro to macro view","CLIP hierarchy flow >0.85","Cells ezikola emikolo egy'okuzingira zigatta okugaba tissue. Kino ni muscle tissue.","Seli zinazofanya kazi sawa hugundana pamoja kuunda tishu. Hii ni tishu ya misuli.","hierarchical","What do similar cells form?","A) Organ B) Tissue C) System D) Organism","B","zoom arrow interaction","Analyzing","BIO-S1-T1.2-014_img.png","512x512","JPEG 80% quality","Yes","Hierarchy step check","Approved"
BIO-S1-T1.2-015,Senior 1,Cells,"d) understand levels of organization",15. Levels of Organization: Organs,"Different tissues work together to form an organ. The heart is an organ made of muscle and nerve tissues.","A diagram of the human heart. Lines point to different parts, labeled 'Muscle Tissue' and 'Nerve Tissue'. An arrow points from a group of tissues to the whole organ.",organization;organ;heart;tissue;human body,"Demonstrates the next level of organization by showing how different tissues (muscle, nerve) combine to form a functional unit (the heart).","Add: tissue labels, organ assembly arrow","Stable Diffusion, guidance=8.0, steps=40","labeled heart diagram","SAM tissue integration","Tissues ebikolagana ebikolagana okugaba organ. Heart ni organ eyogera muscle n' nerve tissues.","Tishu tofauti hufanya kazi pamoja kuunda kifaa. Moyo ni kifaa kilichotengenezwa na tishu za misuli na neva.","integrative","What do tissues form?","A) Cell B) Organ C) Tissue D) System","B","assembly animation, quiz","Understanding","BIO-S1-T1.2-015_img.png","512x512","JPEG 80% quality","Yes","Functional unit review","Approved"
BIO-S1-T1.2-016,Senior 1,Cells,"d) understand levels of organization",16. Levels of Organization: Systems,"Different organs work together in a system. The heart and blood vessels form the circulatory system.","A simple diagram of the human circulatory system, showing the heart and the network of blood vessels throughout the body. An arrow points from the heart to the full system.",organization;system;circulatory system;heart;blood vessels,"Illustrates how organs collaborate in a system to perform a major body function. The circulatory system is a clear and visually extensive example.","Add: network lines, system boundary","ControlNet network, guidance=7.5, steps=50","system diagram, network style","CLIP system completeness >0.9","Organs ebikolagana okukola mu system. Heart n' blood vessels zigatta okugaba circulatory system.","Kifaa tofauti hufanya kazi pamoja katika mfumo. Moyo na mishipa ya damu huunda mfumo wa mzunguko.","collaborative","What do organs form?","A) Tissue B) System C) Cell D) Organ","B","expand network, quiz","Analyzing","BIO-S1-T1.2-016_img.png","512x512","JPEG 80% quality","Yes","Major function check","Approved"
BIO-S1-T1.2-017,Senior 1,Cells,"d) understand levels of organization",17. Levels of Organization: Organism,"All the systems work together to make a whole organism, like a person.","A full-body illustration of a healthy Ugandan person, with faint outlines of the circulatory, respiratory, and digestive systems visible inside.",organization;organism;human;body;systems,"Completes the hierarchy from cell to organism, showing how all the complex systems integrate to form a single, functioning individual.","Add: faint system overlays, Ugandan attire","Diffusion full-body, guidance=7.0, steps=45","whole-body illustration, transparent overlays","SAM overlay alignment","Buli systems zigatta okugaba whole organism, ng'omuntu.","Mifumo yote hufanya kazi pamoja kuunda kiumbe mzima, kama mwanadamu.","holistic","What do systems make?","A) Organ B) Organism C) Tissue D) Cell","B","fade in systems, quiz","Evaluating","BIO-S1-T1.2-017_img.png","512x512","JPEG 80% quality","Yes","Hierarchy completion review","Approved"
BIO-S1-T1.3.1-001,Senior 1,Classification,"a) understand the concept of classification",1. What is Classification?,"Classification is sorting living things into groups based on their similarities.","A Ugandan student organizing a mixed pile of beans and maize kernels into two separate, neat piles.",classification;sorting;groups;similarities,"Uses a simple, hands-on analogy of sorting familiar grains to introduce the scientific concept of classification, making it instantly understandable.","Add: student in uniform, market setting","Stable Diffusion, guidance=7.5, steps=40","hands-on photo-realistic","CLIP sorting accuracy >0.85","Classification ni okugatta ebintu eby'okukola mu bigula okusobola okuva mu bikuganya.","Uainishaji ni kupanga vitu hai katika makundi kulingana na mfanano wao.","practical","What is classification?","A) Mixing B) Sorting similarities C) Hiding D) Eating","B","drag-sort simulation, quiz","Understanding","BIO-S1-T1.3.1-001_img.png","512x512","JPEG 80% quality","Yes","Analogy relevance check","Approved - Local crops"
BIO-S1-T1.3.1-002,Senior 1,Classification,"a) understand the concept of classification",2. The Seven Levels,"Scientists use seven levels to classify organisms, from the biggest group, the Kingdom, to the smallest, the Species.","A large, inverted pyramid diagram divided into 7 labeled sections: Kingdom (at the wide top), Phylum, Class, Order, Family, Genus, Species (at the narrow bottom).",taxonomy;classification;kingdom;phylum;class;order;family;genus;species,"The inverted pyramid is a standard and effective pedagogical tool to visually represent the taxonomic hierarchy from broad to specific.","Add: labels with examples, color gradient","LLaVA for labels, guidance=6.5, steps=30","inverted pyramid diagram","SAM level division >95%","Scientists bagana seven levels okukola classification, okuva mu kingdom okutuusa species.","Wanasayansi hutumia viwango saba kuainisha viumbe, kutoka kwa ufalme mkubwa hadi spishi ndogo.","hierarchical","How many classification levels?","A) 5 B) 7 C) 3 D) 10","B","pyramid expand, quiz","Remembering","BIO-S1-T1.3.1-002_img.png","512x512","JPEG 80% quality","Yes","Hierarchy visual check","Approved"
